mssv,namsinh,gioitinh,namnhaphoc,hieusotuoi,khoahoc,lopsh,hedt,dien_tt,loaitruong,khuvuc,diachi_tinhtp,xeploai_diemtt,avxl,diem_tt,diemchuan_dgnl,dtbhk1,dtbhk2,dtbhk3,dtbhk4,dtbhk5,dtbhk6,dtbhk7,dtbhk8,dtbhk9,dtbhk10,dtbhk11,dtbhk12,xeploai_hk1,xeploai_hk2,xeploai_hk3,xeploai_hk4,xeploai_hk5,xeploai_hk6,xeploai_hk7,xeploai_hk8,xeploai_hk9,xeploai_hk10,xeploai_hk11,xeploai_hk12
99203CEEXPvAibaEXe+dVXFbWVwKlTMxaTaQd/zh,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CTTT,0,THPT,Khu vực 2, Tỉnh Bà Rịa - Vũng Tàu,4,ENG01,20.25,,7.31,7.47,7.79,8.06,8.1,7.87,8.83,8.9,,,,,Khá,Khá,Khá,Giỏi,Giỏi,Khá,Giỏi,Giỏi,,,,
24500250XPvAibaEXe+dVXFbWVwKlZWoN4Lv4G5x,1998.0,1.0,2016.0,0.0,11.0,KHMT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Bà Rịa - Vũng Tàu,3,ENG01,22.75,,7.21,6.24,7.7,5.65,5.8,3.93,1.2,1.1,0.0,0.15,4.68,5.82,Khá,Trung bình khá,Khá,Trung bình,Trung bình,Kém,Kém,Kém,Kém,Kém,Yếu,Trung bình
7C663C97XPvAibaEXe8SRUt3BATKgRv/S1C/NJb0,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Bà Rịa - Vũng Tàu,2,ENG01,24.0,,8.12,7.95,8.28,8.32,7.68,7.6,7.5,8.47,8.6,8.0,,,Giỏi,Khá,Giỏi,Giỏi,Khá,Khá,Khá,Giỏi,Giỏi,Giỏi,,
5DE27F64XPvAibaEXe8SRUt3BATKgcCqOfz0lnJq,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG02,21.25,,8.3,7.67,8.57,7.58,7.09,7.89,6.2,8.58,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Khá,Trung bình khá,Giỏi,,,,
A34A5122XPvAibaEXe8SRUt3BATKgUdpn4Nf+Cwx,1996.0,1.0,2016.0,-2.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 2 NT, Thành phố Cần Thơ,3,ENG01,21.5,,5.95,4.89,,,,,,,,,,,Trung bình,Yếu,,,,,,,,,,
152920E2XPvAibaEXe8SRUt3BATKgareMyi/MAyS,1998.0,1.0,2016.0,0.0,11.0,HTCL2016.1,CLC,0,THPT,Khu vực 2 NT, Tỉnh Nam Định,4,ENG01,20.5,,4.75,0.0,,,,,,,,,,,Yếu,Kém,,,,,,,,,,
625D11A7XPvAibaEXe8SRUt3BATKgSnT3qcoiFYZ,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Ninh Thuận,1,ENG02,25.25,,7.79,7.14,7.95,7.33,7.02,6.71,7.25,8.47,,,,,Khá,Khá,Khá,Khá,Khá,Trung bình khá,Khá,Giỏi,,,,
D7158B5EXPvAibaEXe8SnnwrtS3HXMyHNbfbuNZa,1998.0,0.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,22.25,,7.71,5.0,8.16,7.24,7.43,8.17,8.07,7.5,,,,,Khá,Trung bình,Giỏi,Khá,Khá,Giỏi,Giỏi,Khá,,,,
46F21520XPvAibaEXe8SnnwrtS3HXA7O1FUi8Dvy,1998.0,0.0,2016.0,0.0,11.0,KHMT0001,CQUI,0,Chuyên,Khu vực 2, Tỉnh Thanh Hóa,3,ENG01,22.5,,7.49,6.17,6.27,7.45,7.47,5.91,2.74,6.77,2.27,0.0,7.2,3.64,Khá,Trung bình khá,Trung bình khá,Khá,Khá,Trung bình,Kém,Trung bình khá,Kém,Kém,Khá,Kém
C1EADB83XPvAibaEXe8SnnwrtS3HXHEJbccj0138,1997.0,1.0,2016.0,-1.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Trị,2,ENG01,24.75,,7.61,5.69,5.67,5.78,3.13,1.47,,,,,,,Khá,Trung bình,Trung bình,Trung bình,Kém,Kém,,,,,,
DBA6C8F4XPvAibaEXe8SnnwrtS3HXOHAT71PZDzl,1998.0,1.0,2016.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 2 NT, Tỉnh Khánh Hoà,4,ENG01,20.25,,3.75,0.46,4.6,0.28,,,,,,,,,Kém,Kém,Yếu,Kém,,,,,,,,
FB28C53FXPvAibaEXe+6DwsvcvouVUqQbATMhLMU,1998.0,1.0,2016.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 1, Thành phố Buôn Ma Thuột,2,ENG01,23.5,,6.99,6.99,6.92,7.41,7.78,6.63,6.71,6.68,,,,,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Khá,Trung bình khá,Trung bình khá,Trung bình khá,,,,
86475D27XPvAibaEXe+6DwsvcvouVX0Imwtv+1AY,1998.0,0.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,GDTX,Khu vực 2 NT, Tỉnh Bà Rịa - Vũng Tàu,3,ENG01,22.25,,7.31,5.86,8.18,8.25,7.74,7.84,7.04,7.27,,,,,Khá,Trung bình,Giỏi,Giỏi,Khá,Khá,Khá,Khá,,,,
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CLC,0,Chuyên,Khu vực 2, Tỉnh Quảng Nam,3,ENGBT,21.0,,5.79,6.07,6.05,6.52,5.86,5.54,1.33,5.92,,,,,Trung bình,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình,Trung bình,Kém,Trung bình,,,,
BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ,1998.0,0.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Hà Tĩnh,2,ENGBT,23.5,,8.62,8.24,7.81,8.19,7.5,7.98,8.61,7.72,,,,,Giỏi,Giỏi,Khá,Giỏi,Khá,Khá,Giỏi,Khá,,,,
CDC705C7XPvAibaEXe+6DwsvcvouVRtexNbBIUn0,1998.0,0.0,2016.0,0.0,11.0,TMĐT2016,CQUI,0,THPT,Khu vực 2, Huyện Phú Hòa,3,ENG01,22.5,,7.06,6.78,7.41,7.25,6.46,6.96,,,,,,,Khá,Trung bình khá,Khá,Khá,Trung bình khá,Trung bình khá,,,,,,
311ED2B8XPvAibaEXe9hYalhCsDQbS6sfm8IQ2Af,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3, Thành phố Đà Nẵng,3,ENG02,21.75,,7.02,5.17,5.91,5.51,4.91,0.0,,,,,,,Khá,Trung bình,Trung bình,Trung bình,Yếu,Kém,,,,,,
7D7299A4XPvAibaEXe9hYalhCsDQbVspsqAf44vo,1998.0,0.0,2016.0,0.0,11.0,ATTN2016,KSTN,1,THPT,Khu vực 3, Thành phố Hồ Chí Minh,1,ENG02,,,7.74,7.86,8.3,7.75,9.11,8.47,8.38,8.32,,,,,Khá,Khá,Giỏi,Khá,Xuất sắc,Giỏi,Giỏi,Giỏi,,,,
FF9F4B4BXPvAibaEXe9hYalhCsDQbZInk2E5ehqz,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,4,ENG02,20.75,,4.74,0.81,4.94,4.77,0.45,0.08,6.13,6.02,5.4,5.08,3.95,6.54,Yếu,Kém,Yếu,Yếu,Kém,Kém,Trung bình khá,Trung bình khá,Trung bình,Trung bình,Kém,Trung bình khá
88EF2277XPvAibaEXe9hYalhCsDQbSfXq4xG0YaN,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 1, Huyện Trần Đề,3,ENG01,22.5,,8.04,7.23,8.14,7.72,7.96,8.42,,,,,,,Giỏi,Khá,Giỏi,Khá,Khá,Giỏi,,,,,,
DC14503EXPvAibaEXe/PpYImsUfHqHsNvr8F6r45,1997.0,1.0,2016.0,-1.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Hà Tĩnh,3,ENG01,21.75,,6.12,5.83,7.13,7.55,5.44,6.77,4.31,5.25,4.69,1.18,8.27,8.2,Trung bình khá,Trung bình,Khá,Khá,Trung bình,Trung bình khá,Yếu,Trung bình,Yếu,Kém,Giỏi,Giỏi
ACA0950BXPvAibaEXe/PpYImsUfHqD6eG7DgXV3+,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THCS&THPT,Khu vực 3, Tỉnh Đồng Nai,1,ENGBT,25.25,,6.95,7.61,7.7,8.03,7.2,7.18,7.12,7.67,,,,,Trung bình khá,Khá,Khá,Giỏi,Khá,Khá,Khá,Khá,,,,
69DD2363XPvAibaEXe/PpYImsUfHqKbr7uKLVm3D,1998.0,0.0,2016.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2, Tỉnh Thanh Hóa,4,ENG01,20.25,,5.64,6.02,6.61,7.27,7.62,7.17,8.45,8.34,,,,,Trung bình,Trung bình khá,Trung bình khá,Khá,Khá,Khá,Giỏi,Giỏi,,,,
148B0735XPvAibaEXe/PpYImsUfHqE1zMz8TOUpD,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Nghệ An,2,ENGBT,24.25,,6.95,6.0,8.08,7.28,8.31,7.4,6.89,6.35,7.19,5.86,,,Trung bình khá,Trung bình khá,Giỏi,Khá,Giỏi,Khá,Trung bình khá,Trung bình khá,Khá,Trung bình,,
708AB1C7XPvAibaEXe/PpYImsUfHqD0OJUP9JAIW,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2 NT, Xã An Bình,2,ENG01,24.0,,8.14,7.46,7.47,7.09,6.95,7.98,7.22,7.44,,,,,Giỏi,Khá,Khá,Khá,Trung bình khá,Khá,Khá,Khá,,,,
26545F1DXPvAibaEXe/PpYImsUfHqNG0bhfPaet8,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Bình,2,ENG01,24.0,,7.72,7.26,6.54,7.03,7.5,6.7,6.42,8.6,8.0,9.6,,,Khá,Khá,Trung bình khá,Khá,Khá,Trung bình khá,Trung bình khá,Giỏi,Giỏi,Xuất sắc,,
ADF5D656XPvAibaEXe9mDsFtgVHJ/tAsCsrxrm09,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1, Thành phố Buôn Ma Thuột,3,ENG01,21.75,,6.54,3.56,2.77,3.86,4.07,3.48,2.39,5.43,,,2.47,6.49,Trung bình khá,Kém,Kém,Kém,Yếu,Kém,Kém,Trung bình,,,Kém,Trung bình khá
590263C4XPvAibaEXe9mDsFtgVHJ/lr5wIkYTfyo,1998.0,1.0,2016.0,0.0,11.0,ATTN2016,KSTN,1,THPT,Khu vực 2, Thành phố Cao Lãnh,1,ENG02,,,8.73,7.89,8.53,7.86,8.83,8.06,8.06,8.73,,,,,Giỏi,Khá,Giỏi,Khá,Giỏi,Giỏi,Giỏi,Giỏi,,,,
8F232DF7XPvAibaEXe9mDsFtgVHJ/s35hMBjAlMC,1998.0,1.0,2016.0,0.0,11.0,MTCL2016.1,CLC,0,Chuyên,Khu vực 2, Tỉnh Tiền Giang,3,ENG01,22.0,,6.42,6.32,6.68,6.69,7.1,7.25,7.76,8.15,,,,,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Khá,Khá,Giỏi,,,,
36D640F7XPvAibaEXe9mDsFtgVHJ/mDfL0P5OcbN,1998.0,1.0,2016.0,0.0,11.0,HTCL2016.1,CLC,0,Chuyên,Khu vực 2, Tỉnh Quảng Nam,3,ENG01,21.0,,6.91,4.73,3.24,6.06,3.25,2.9,0.5,1.05,,,,,Trung bình khá,Yếu,Kém,Trung bình khá,Kém,Kém,Kém,Kém,,,,
7F03C845XPvAibaEXe9mDsFtgVHJ/rHAoglzQPuR,1998.0,1.0,2016.0,0.0,11.0,HTTT2016,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,3,ENGBT,22.75,,4.52,1.43,3.36,2.53,,,,,,,,,Yếu,Kém,Kém,Kém,,,,,,,,
3E7F9BAEXPvAibaEXe/PQrWCRBKWOXm6NoDezPNj,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Nam,1,ENGBT,25.0,,7.81,7.28,7.04,5.61,4.36,2.84,,,,,,,Khá,Khá,Khá,Trung bình,Yếu,Kém,,,,,,
DD10B95EXPvAibaEXe/PQrWCRBKWOUTASXEgaMpR,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1, Tỉnh Bình Thuận,2,ENGBT,24.0,,7.92,6.52,6.78,7.29,6.41,6.63,6.87,6.23,3.45,8.34,,,Khá,Trung bình khá,Trung bình khá,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Kém,Giỏi,,
E19D2B1BXPvAibaEXe/PQrWCRBKWOc3YfEgCqG49,1998.0,1.0,2016.0,0.0,11.0,CNTT0001,CQUI,0,THPT,Khu vực 2 NT, Xã Mỹ Thọ,2,ENG01,23.25,,6.13,5.6,5.05,6.77,7.44,7.05,5.77,7.61,3.8,5.5,,,Trung bình khá,Trung bình,Trung bình,Trung bình khá,Khá,Khá,Trung bình,Khá,Kém,Trung bình,,
2EE8EACBXPvAibaEXe/PQrWCRBKWOUgYNGbFx+gp,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT, Tỉnh Bình Định,3,ENG01,22.0,,5.27,3.05,5.74,6.41,4.54,1.03,4.09,5.93,6.29,8.03,4.78,4.03,Trung bình,Kém,Trung bình,Trung bình khá,Yếu,Kém,Yếu,Trung bình,Trung bình khá,Giỏi,Yếu,Yếu
3DB94F26XPvAibaEXe/PQrWCRBKWOT8OwzmHmk/P,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Tỉnh Long An,3,ENG01,22.25,,5.71,1.35,4.37,5.38,6.42,5.08,5.32,6.8,5.89,5.79,,,Trung bình,Kém,Yếu,Trung bình,Trung bình khá,Trung bình,Trung bình,Trung bình khá,Trung bình,Trung bình,,
673DFB3FXPvAibaEXe+PVAbtvmWztm2CbdLr9oDw,1998.0,1.0,2016.0,0.0,11.0,HTTT2016,CQUI,0,THPT,Khu vực 1, Tỉnh Lâm Đồng,3,ENG01,21.75,,3.94,0.05,,,,,,,,,,,Kém,Kém,,,,,,,,,,
162A7EB7XPvAibaEXe+PVAbtvmWztizXjvoILtE2,1998.0,1.0,2016.0,0.0,11.0,PMCL2016.1,CLC,0,THPT,Khu vực 3, Thành phố Hồ Chí Minh,3,ENG01,21.75,,7.64,6.87,8.11,7.82,7.59,7.63,6.99,8.54,,,,,Khá,Trung bình khá,Giỏi,Khá,Khá,Khá,Trung bình khá,Giỏi,,,,
F20DAC9CXPvAibaEXe+PVAbtvmWztvqSlgxkmaYD,1999.0,1.0,2016.0,1.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2 NT, Thành phố Hồ Chí Minh,3,ENGBT,22.5,,5.62,1.19,2.47,3.8,1.0,0.0,,,,,,,Trung bình,Kém,Kém,Kém,Kém,Kém,,,,,,
815BC6BAXPvAibaEXe+PVAbtvmWztjKUVtlCbbjs,1998.0,1.0,2016.0,0.0,11.0,KTMT0001,CLC,0,THPT,Khu vực 2, Thành phố Hồ Chí Minh,4,ENG01,20.25,,5.48,6.14,5.41,6.34,6.31,6.52,7.29,8.15,,,,,Trung bình,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Giỏi,,,,
DB28A6B8XPvAibaEXe+E43ovk5Cnp7bfzCqOTUE4,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Đắk Lắk,2,ENG01,23.25,,7.01,6.8,7.91,7.18,9.15,7.25,7.96,8.23,,,,,Khá,Trung bình khá,Khá,Khá,Xuất sắc,Khá,Khá,Giỏi,,,,
608FE5CBXPvAibaEXe+E43ovk5CnpwmA3I5AD7zg,1998.0,1.0,2016.0,0.0,11.0,KTPM2016,CQUI,1,THPT,Khu vực 2, Tỉnh Đắk Nông,1,ENG01,,,6.11,5.12,7.04,6.63,,,,,,,,,Trung bình khá,Trung bình,Khá,Trung bình khá,,,,,,,,
8BBA5160XPvAibaEXe+E43ovk5Cnp/tao33YkYzw,1997.0,0.0,2016.0,-1.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 2, Tỉnh Hà Tĩnh,3,ENG01,22.5,,6.08,5.56,6.65,6.39,6.71,6.52,8.0,6.76,,,,,Trung bình khá,Trung bình,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Giỏi,Trung bình khá,,,,
7AB58862XPvAibaEXe+E43ovk5CnpwkeppoJzanh,1996.0,1.0,2016.0,-2.0,11.0,KTPM0001,CQUI,0,THPT,Khu vực 1, Tỉnh Kon Tum,1,ENGBT,25.0,,6.38,4.87,5.92,6.32,6.61,6.89,5.07,5.62,5.92,3.67,2.23,0.0,Trung bình khá,Yếu,Trung bình,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình,Trung bình,Trung bình,Kém,Kém,Kém
17BDA973XPvAibaEXe+E43ovk5Cnp9ENMHNfPeIz,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2, Tỉnh Quảng Bình,3,ENGBT,21.75,,8.4,7.49,7.73,8.06,6.07,7.71,4.56,8.1,7.78,8.0,,,Giỏi,Khá,Khá,Giỏi,Trung bình khá,Khá,Yếu,Giỏi,Khá,Giỏi,,
6E854833XPvAibaEXe9a9WHB728zIMSTTWhKiiWi,1998.0,0.0,2016.0,0.0,11.0,CNTT2016,CQUI,0,THPT,Khu vực 2, Tỉnh Quảng Nam,2,ENGBT,23.0,,7.71,7.91,6.61,7.56,8.13,7.31,8.4,8.5,,,,,Khá,Khá,Trung bình khá,Khá,Giỏi,Khá,Giỏi,Giỏi,,,,
81591236XPvAibaEXe9a9WHB728zIC+BsRhdRUah,1997.0,1.0,2016.0,-1.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Nghệ An,3,ENG01,22.75,,7.32,6.11,6.61,6.85,6.91,6.59,6.44,6.32,6.34,8.2,,,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Trung bình khá,Giỏi,,
6F9BED37XPvAibaEXe9a9WHB728zIB4h7e7yTZjQ,1997.0,1.0,2016.0,-1.0,11.0,ATTT2016,CQUI,0,THCS&THPT,Khu vực 3, Tỉnh Bình Phước,2,ENG01,23.5,,3.16,3.37,,,,,,,,,,,Kém,Kém,,,,,,,,,,
FF9BCACDXPvAibaEXe9a9WHB728zIL656Mdf6zEw,1995.0,1.0,2016.0,-3.0,11.0,KHMT2016,CQUI,0,THPT,Khu vực 2 NT, Huyện Đại Lộc,3,ENGBT,22.75,,1.17,0.14,,,,,,,,,,,Kém,Kém,,,,,,,,,,
850C19C2XPvAibaEXe9gcLLHJLBBnZC5o6sMc8cs,1998.0,1.0,2016.0,0.0,11.0,MTCL2016.1,CLC,0,THPT,Khu vực 1, Tỉnh Gia Lai,4,ENG01,20.5,,4.88,0.76,4.8,0.43,,,,,,,,,Yếu,Kém,Yếu,Kém,,,,,,,,
D6D49AA7XPvAibaEXe9gcLLHJLBBnRYB6m6WhcfJ,1998.0,0.0,2016.0,0.0,11.0,KTPM0001,CLC,0,THPT,Khu vực 2 NT, Tỉnh Bình Định,3,ENG01,21.0,,6.37,5.39,6.26,7.06,6.06,6.81,6.18,7.94,6.82,2.0,2.0,7.0,Trung bình khá,Trung bình,Trung bình khá,Khá,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Trung bình khá,Kém,Kém,Khá
0A94E4D0XPvAibaEXe9gcLLHJLBBnRqUfrm4aBzH,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2, Thành phố Hồ Chí Minh,2,ENG02,23.5,,7.32,5.37,7.51,7.62,4.9,5.93,6.45,5.83,,,,,Khá,Trung bình,Khá,Khá,Yếu,Trung bình,Trung bình khá,Trung bình,,,,
39B20F4DXPvAibaEXe9gcLLHJLBBnc8cdqv19Ylu,1995.0,1.0,2016.0,-3.0,11.0,HTTT0001,CLC,0,THPT,Khu vực 2, Tỉnh Tây Ninh,4,ENG01,20.5,,6.75,6.99,6.94,7.2,7.42,7.35,7.48,6.99,0.0,0.0,,,Trung bình khá,Trung bình khá,Trung bình khá,Khá,Khá,Khá,Khá,Trung bình khá,Kém,Kém,,
2900754CXPvAibaEXe9gcLLHJLBBnX1D4yMOsVg0,1998.0,1.0,2016.0,0.0,11.0,HTTT0001,CQUI,0,THPT,Khu vực 1, Tỉnh Kon Tum,3,ENGBT,22.5,,7.37,5.81,7.13,6.23,7.43,7.29,8.1,7.8,,,,,Khá,Trung bình,Khá,Trung bình khá,Khá,Khá,Giỏi,Khá,,,,
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,1998.0,1.0,2016.0,0.0,11.0,KTPM0001,CQUI,1,THPT,Khu vực 2, Tỉnh Đồng Tháp,1,ENG01,,,7.88,7.34,8.61,7.5,8.24,7.57,7.44,7.32,4.4,7.99,,,Khá,Khá,Giỏi,Khá,Giỏi,Khá,Khá,Khá,Yếu,Khá,,
5533DD19XPvAibaEXe86sbeN0/YCTbUKokfc1ORb,1998.0,1.0,2016.0,0.0,11.0,KHMT2016.1,CQUI,0,THPT,Khu vực 2, Thành phố Thanh Hóa,3,ENG01,22.5,,6.74,5.56,7.8,7.25,7.54,6.85,7.65,6.4,,,,,Trung bình khá,Trung bình,Khá,Khá,Khá,Trung bình khá,Khá,Trung bình khá,,,,
8E862257XPvAibaEXe86sbeN0/YCTScV+FsBuwvo,1998.0,1.0,2016.0,0.0,11.0,KHMT2016,CQUI,0,THPT,Khu vực 1, Tỉnh Bình Phước,3,ENG01,22.25,,4.61,0.06,,,,,,,,,,,Yếu,Kém,,,,,,,,,,
3F21B786XPvAibaEXe86sbeN0/YCTQd15EVD6n3Y,1998.0,1.0,2016.0,0.0,11.0,MMTT0001,CQUI,0,THPT,Khu vực 2 NT, Huyện Hồng Ngự,2,ENG01,23.0,,7.85,6.56,8.46,7.37,9.31,8.44,8.6,8.33,,,,,Khá,Trung bình khá,Giỏi,Khá,Xuất sắc,Giỏi,Giỏi,Giỏi,,,,
